name,product_url,image_url,source
Airlift Intrigue Bra - Espresso,https://www.aloyoga.com/products/w9679r-airlift-intrigue-bra-espresso,https://cdn.shopify.com/s/files/1/2185/2813/files/W9679R_04064_b2_s1_a1_1_m254_a691aafb-fe82-4263-bd7b-853a3a7e41e0_320x.jpg?v=1755014101,alo_yoga
7/8 High-Waist Airlift Legging - Espresso,https://www.aloyoga.com/products/w51314r-7-8-high-waist-airlift-legging-espresso,https://cdn.shopify.com/s/files/1/2185/2813/files/W51314R_04064_b2_s1_a1_1_m54_320x.jpg?v=1745619160,alo_yoga
Work It Mini Skirt - Green Olive,https://www.aloyoga.com/products/w6503r-work-it-mini-skirt-green-olive,https://cdn.shopify.com/s/files/1/2185/2813/files/W6503R_06464_b2_s1_a1_m176_320x.jpg?v=1755864852,alo_yoga
Work It Bomber - Green Olive,https://www.aloyoga.com/products/w4689r-work-it-bomber-green-olive,https://cdn.shopify.com/s/files/1/2185/2813/files/W4689R_06464_b2_s1_a1_m176_320x.jpg?v=1755863588,alo_yoga
Airlift Intrigue Bra - Black,https://www.aloyoga.com/products/w9679r-airlift-intrigue-bra-black,https://cdn.shopify.com/s/files/1/2185/2813/files/W9679R_01_b2_s1_a1_1_m190_320x.jpg?v=1756827754,alo_yoga
7/8 High-Waist Airlift Legging - Black,https://www.aloyoga.com/products/w5766r-7-8-high-waist-airlift-legging-black,https://cdn.shopify.com/s/files/1/2185/2813/files/W5766R_01_b2_s1_a1_1_m255_320x.jpg?v=1756827034,alo_yoga
Cropped Serenity Coverup - Ivory,https://www.aloyoga.com/products/w3875r-cropped-serenity-coverup-ivory,https://cdn.shopify.com/s/files/1/2185/2813/files/W3875R_03299_b2_s1_a1_1_m190_320x.jpg?v=1756827401,alo_yoga
Accolade Short - Ivory,https://www.aloyoga.com/products/w6472rg-accolade-short-ivory,https://cdn.shopify.com/s/files/1/2185/2813/files/W6472RG_03299_b1_s1_a6_m240_320x.jpg?v=1755913915,alo_yoga
Ribbed Sea Coast Cropped Short Sleeve Tee - Ivory,https://www.aloyoga.com/products/w1445r-ribbed-sea-coast-cropped-short-sleeve-tee-ivory,https://cdn.shopify.com/s/files/1/2185/2813/files/W1445R_03299_b1_s1_a1_1_m76_320x.jpg?v=1698276797,alo_yoga
Accolade Crew Neck Pullover - Espresso,https://www.aloyoga.com/products/u3031rg-accolade-crew-neck-pullover-espresso,https://cdn.shopify.com/s/files/1/2185/2813/files/U3031RG_04064_b2_s1_a2_1_m190_320x.jpg?v=1756827811,alo_yoga
Accolade Straight Leg Sweatpant - Espresso,https://www.aloyoga.com/products/u5012rg-accolade-straight-leg-sweatpant-espresso,https://cdn.shopify.com/s/files/1/2185/2813/files/U5012RG_04064_b2_s1_a1_1_m256_320x.jpg?v=1756827501,alo_yoga
Cropped Gold Rush Puffer Vest - Espresso,https://www.aloyoga.com/products/w4639r-extreme-cropped-gold-rush-puffer-vest-espresso,https://cdn.shopify.com/s/files/1/2185/2813/files/W4639R_04064_b2_s1_a3_m256_320x.jpg?v=1756827441,alo_yoga
Accolade Hoodie - Green Olive,https://www.aloyoga.com/products/u3032rg-accolade-hoodie-green-olive,https://cdn.shopify.com/s/files/1/2185/2813/files/U3032RG_06464_b2_s1_a3_m256_320x.jpg?v=1756322946,alo_yoga
Accolade Straight Leg Sweatpant - Green Olive,https://www.aloyoga.com/products/u5012rg-accolade-straight-leg-sweatpant-green-olive,https://cdn.shopify.com/s/files/1/2185/2813/files/U5012RG_06464_b1_s1_a2_m18_320x.jpg?v=1755904867,alo_yoga
Airlift Intrigue Bra - Green Olive,https://www.aloyoga.com/products/w9557r-airlift-intrigue-bra-green-olive,https://cdn.shopify.com/s/files/1/2185/2813/files/W9557R_06464_b1_s1_a1_m18_320x.jpg?v=1755865786,alo_yoga
